address,latitude,longitude
werner-von-siemens-strasse 14 | 32369 rahden,52.438507200000004,8.640106144756832
gewerbegebiet 5 | 25946 nebel,54.6363843,8.3576184
grüne strasse 32 | 32289 rödinghausen,52.2402495,8.509002622700647
vogelsanger strasse 451 | 50829 köln,50.95549065,6.881927352332784
am zehnthof 187 | 45307 essen,51.459081999999995,7.070881549860996
am sudenburger bahnhof 3 | 39110 magdeburg,52.1206516,11.5968849
heimgarten 4/b03 | 3002 purkersdorf,48.1936679,16.1673061
karl-ferdinand-braun-str. 7 | 97080 würzburg,49.809657,9.890094606978424
am buckhornwald 7b | 22359 hamburg,53.66137705,10.151413200110179
koblenzer str. 58 | 56626 andernach,50.43618415,7.41718215
pohlhof 9 | 32839 steinheim,51.8651062,9.0953395
firschaumstrasse 8 | 5222 munderfing,48.07101595,13.183302183420366
bahnhofstrasse 35 | 5760 saalfelden am steinernen meer,47.4266302,12.8390372
hainfelder strasse 34 | 2563 pottenstein,47.961591600000006,16.092793778863246
rennweg 77 | 2345 brunn am gebirge,48.1078579,16.301137949210656
marktplatz 36 | 4724 neukirchen,48.40477595,13.781828598378386
poststrasse 4 | 3204 kirchberg an der pielach,48.0252399,15.43053546332773
zwieseler strasse 2 | 94269 rinchnach,48.9508646,13.1990296
hauptstrasse 33 | 2482 münchendorf,48.0299864,16.379417
weiße-hahnen-gasse 2 | 93047 regensburg,49.0207864,12.0975468
kremser strasse 7 | 3610 weißenkirchen,48.3990599,15.47208620880379
willersdorf 15 | 5143 feldkirchen bei mattighofen,48.04283875,13.012055172346761
reindlstrasse 4 | 4040 linz,48.312849299999996,14.28237209989569
hannesgrub 20 | 4910 ried im innkreis,48.21689895,13.499906650000002
sumpfgasse 13 | 1210 wien,48.2783486,16.371476005927107
bitzerweg 28 | 56598 rheinbrohl,50.49817805,7.327655860259999
kranichstrasse 40 | 25462 rellingen,53.6283995,9.8784655
wilhelmstrasse 7 | 35075 gladenbach,50.77029105,8.584989400000001
kapellenstrasse 2 | 30890 barsinghausen,52.3041372,9.531523197604743
hauptstrasse 4 | 99869 ebenheim,50.9754719,10.5118851
lindenstrasse 22 | 06917 jessen,51.7842042,12.9577598
margaretenstrasse 59 | 82152 krailling,48.095999649999996,11.411050696082093
